artifact,corr_label,corr_prediction
Unnamed: 0,0.008249352441975817,0.01827261152246231
dark_corner,0.08367560362285577,0.08339726591633116
hair,-0.0776805134887858,-0.07308771142091937
gel_border,-0.10270447326461571,-0.12963139061210588
gel_bubble,0.006751626876402551,0.03639643934039773
ruler,0.10041651869398868,0.09090239571209723
ink,-0.06518699839319848,-0.0852330392074566
patches,-0.13194669045213836,-0.15537435576548772
pred_fold0,0.8428089906168491,0.8809238491961855
pred_fold1,0.8414130697441757,0.8788890481315113
pred_fold2,0.8296466639529274,0.8811367412127448
